algo_stage,state,time,language,total_runtime,pct_runtime
count,DE,24.17384910583496,Python,21.070374385515848,0.01912151524816798
count,KS,108.15153574943542,Python,21.070374385515848,0.08554786748654129
count,NV,43.69054102897644,Python,21.070374385515848,0.034559219048183355
merge,DE,6.823303937911987,Python,21.070374385515848,0.005397233585783244
merge,KS,31.159303426742554,Python,21.070374385515848,0.02464700979096193
merge,NV,12.30381155014038,Python,21.070374385515848,0.009732315244319405
read,DE,153.9308557510376,Python,21.070374385515848,0.12175931075438667
read,KS,609.9862744808197,Python,21.070374385515848,0.48249915839190083
read,NV,274.0029881000519,Python,21.070374385515848,0.2167363704497553
count,DE,16,R,4.5,0.05925925925925926
count,KS,67,R,4.5,0.24814814814814815
count,NV,30,R,4.5,0.1111111111111111
merge,DE,6,R,4.5,0.022222222222222223
merge,KS,18,R,4.5,0.06666666666666667
merge,NV,11,R,4.5,0.040740740740740744
read,DE,15,R,4.5,0.05555555555555555
read,KS,79,R,4.5,0.29259259259259257
read,NV,28,R,4.5,0.1037037037037037
count,DE,1.232,Stata,1.3182066666666665,0.015576717864168997
count,KS,4.829,Stata,1.3182066666666665,0.06105517091401955
count,NV,2.203,Stata,1.3182066666666665,0.02785349793406193
merge,DE,7.993,Stata,1.3182066666666665,0.1010590145197263
merge,KS,28.687,Stata,1.3182066666666665,0.3627023582543962
merge,NV,13.622,Stata,1.3182066666666665,0.17222893729359584
read,DE,3.0927,Stata,1.3182066666666665,0.03910236634619761
read,KS,11.9757,Stata,1.3182066666666665,0.15141404231000702
read,NV,5.458,Stata,1.3182066666666665,0.06900789456382661
count,DE,0.9099999999999999,SAS,0.39216666666666666,0.03867403314917126
count,KS,2.31,SAS,0.39216666666666666,0.09817254568635785
count,NV,1.1099999999999999,SAS,0.39216666666666666,0.04717382065448363
merge,DE,1.31,SAS,0.39216666666666666,0.055673608159796
merge,KS,4.54,SAS,0.39216666666666666,0.19294517637059072
merge,NV,2.1,SAS,0.39216666666666666,0.08924776880577985
read,DE,3.27,SAS,0.39216666666666666,0.1389715257118572
read,KS,5.13,SAS,0.39216666666666666,0.2180195495112622
read,NV,2.8499999999999996,SAS,0.39216666666666666,0.12112197195070121
